序號,評論ID,作者,評分,評論內容,評論日期,實際日期,照片數,語言,醫院名稱,來源檔案,實際日期_parsed,評論長度,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment,rating_category,textblob_accurate,vader_accurate
52,review_59154,Allyson Chase-Schertz,5,My brother had a condition and my family and I brought him to ER back in November. He is special needs and it is hard for him to communicate what is wrong. He spent 24 hours in the ER. The day time nurse was great. The night time nurse was okay to my brother but rude to me. He was eventually got brought up to the neurology floor. There he had a neurology team and a psychiatric team to help him. He spent about 2 months here. The nurses/pca are unbelievably great here. They were so kind to my parents and I during this difficult time. They made sure to give the best care to my brother. The doctors were very thorough and made sure we knew what was going on. They were so knowledgeable. He also worked with OT/PT too. They were amazing as well and helped with different goals he needed to achieve. All in all my family and I had a good experience with this hospital during a difficult time. I would highly recommend this hospital!,9 months ago,2025-01-31,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2025-01-31,933,0.2126417233560091,0.6062320483749055,Positive,0.9917,0.063,0.703,0.234,Positive,Positive (4-5★),True,True
54,review_29728,Maritza Benel-kelley,5,"This Hospital is the best ,i saw two best Doctors here, ,One was for my eyes  Dr Scott Greenstain  Opthalmology and the other  Dr  Michael Schwarzschild Neurologist for Parkinson ,both Doctors are competent ,Compassionate  provider who take  time to see you . Both of them are  gifted ,I’m so happy and lucky to have this doctors",9 months ago,2025-01-31,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2025-01-31,329,0.5726190476190476,0.6392857142857142,Positive,0.9709,0.0,0.697,0.303,Positive,Positive (4-5★),True,True
55,review_26019,Rosa Marsilia,5,"Dr. Hosseini is a great cardiac surgeon. She was professional, very thorough, easy to communicate with, and most importantly empathic towards her patients and their family members. I will recommend her as a doctor without hesitation.",9 months ago,2025-01-31,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2025-01-31,233,0.3404761904761905,0.4976190476190476,Positive,0.9214,0.0,0.686,0.314,Positive,Positive (4-5★),True,True
59,review_22875,Pedro Fuentes,1,This hospital has no respect for court orders or father’s rights. The patient and family advocates are a joke.,10 months ago,2025-01-01,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2025-01-01,110,0.0,0.0,Neutral,-0.091,0.117,0.781,0.101,Negative,Negative (1-2★),False,True
64,review_53037,Ronald Gaudette,1,"Considerable difficulty reaching Doctors or Nurse Practioners during moments of urgent care, and subsequently being reprimanded for attempting so, MGH has declined in its compassionate care to one of hubris.",11 months ago,2024-12-02,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2024-12-02,207,0.05,0.25,Neutral,0.8685,0.067,0.597,0.336,Positive,Negative (1-2★),False,False
65,review_75672,David C,1,I didn't realize how broken the Healthcare system was until I went to the emergency room with an eye injury and had to wait 7 hours to see a doctor,11 months ago,2024-12-02,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2024-12-02,147,-0.4,0.4,Negative,-0.4303,0.154,0.772,0.073,Negative,Negative (1-2★),True,True
67,review_2660,Justine Henault,1,"A nurse

has done nothing but fight with me in front of my sick family member until she triggered a manic episode! No patient advocate,no nursing supervisor,  no help with both of us crying!! I am going to file formal complaint......unacceptable!!!!!
Update: My family and I have reason to believe that same nurse called my family members room at 3am on purpose. When asked to investigate this serious complaint further,  the hospital turned away. Also, the doctor assigned to my family members care called and turned his Outpatient provider against him and they stopped seeing him, after 15 years!!! Who does that? Don't believe the hype, this hospital is nothing but evil",Edited 11 months ago,2024-12-02,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2024-12-02,673,-0.4971235417995323,0.5641156462585034,Negative,-0.8525,0.163,0.75,0.087,Negative,Negative (1-2★),True,True
68,review_33123,Bella Stone,5,"We couldn’t be more grateful for the exceptional care my dad, Antonio Silva, received from Dr. Shankar Ganesh during his spinal surgery. From the very beginning, Dr. Ganesh was real and honest while maintaining a sense of optimism that made my dad feel safe and confident. Throughout the entire process, it was clear that my dad was in the best hands possible, and Dr. Ganesh’s calm and caring demeanor gave us all peace of mind.

The surgery and recovery exceeded our expectations. My dad was up and walking the very next day without any pain, which was truly surprising to him. His recovery has continued to be smooth, and two months later, he just keeps getting better and stronger. The day after the surgery, Dr. Ganesh was there to personally check on him, take care of the stitches, and ensure everything was on track.

Dr. Ganesh’s professionalism, skill, and genuine care have been a blessing. My dad was so touched by how Dr. Ganesh looked at him—with a sense of responsibility and empathy, like it was his own result. We’ve been incredibly lucky to have a doctor with such ‘angel hands,’ who truly cares for his patients’ well-being. Thank you, Dr. Ganesh, for everything. We are forever grateful!",11 months ago,2024-12-02,1,en,Massachusetts_General_Hospital,Massachusetts_General_Hospital.csv,2024-12-02,1207,0.3409090909090909,0.5465909090909091,Positive,0.9973,0.0,0.7,0.3,Positive,Positive (4-5★),True,True
1,review_80711,Abihaosprify,3,"Ronald Reagan UCLA Medical Center is a top-tier hospital known for advanced treatments and expert doctors. The facility is state-of-the-art, though it can be busy, the care and professionalism are excellent.",2 weeks ago,2025-09-25,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-25,207,0.27999999999999997,0.4,Positive,0.836,0.0,0.759,0.241,Positive,Neutral (3★),False,False
2,review_82224,alice gonzales,2,"The breakfast was terrible. The eggs tasted like powder with water the bacon was like cardboard that hashbrowns were like eating, dried spaghetti. And then I was asked about how many bacons I had on my plate I said two he charges 6 really disappointed in service not even a smile",2 weeks ago,2025-09-25,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-25,279,-0.22999999999999998,0.5900000000000001,Negative,-0.4944,0.172,0.707,0.121,Negative,Negative (1-2★),True,True
3,review_89275,Benjamin Fabian,5,so happy to all the staff,2 weeks ago,2025-09-25,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-25,25,0.8,1.0,Positive,0.6115,0.0,0.556,0.444,Positive,Positive (4-5★),True,True
5,review_68113,Thomas Moore,1,Worst hospital on earth. Got billed $920 for a primary care visit and I have insurance. I'd give zero stars if I could.,4 weeks ago,2025-09-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-11,119,-0.3,0.75,Negative,-0.2263,0.145,0.742,0.113,Negative,Negative (1-2★),True,True
6,review_56395,B Summers,1,"UCLA is a scam, all they want is MONEY. I have a lipoma that has been giving me ZERO issues and the only thing I wanted was to make sure it wasn't cancer. Told my GP about it, said it was most likely a lipoma and sent me to a General Surgeon here to apparently verify. I did not call to make the appointment, this office called me multiple times to make the appointment which should have set off red flags right there. I was charged a $300 facility fee for this General Surgeon to take less than 2 minutes to measure the lipoma, confirm it was a lipoma and tell me I needed surgery for it and had me schedule the surgery. I literally got stuck with an over $200 bill just to schedule a surgery I DID NOT NEED. I was given zero options besides surgery, the ONLY reason I was being checked out for this was ignored, there was no mention of doing a biopsy and I was made to believe that the removal was necessary. Medical records for the appointment were not fully accurate, lipoma was stated to be considerably newer than it was. When sent the invoice for the surgery they charged the HIGHEST threshold amount for the surgery which conveniently capped out my deductible and they wanted me to prepay $3k my insurance didn't cover before the day of surgery. Even chatgpt examined the invoice and said it was more on the high end for the 45 minute procedure (13k).",a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,1359,0.13494708994708995,0.525811287477954,Positive,-0.508,0.051,0.913,0.035,Negative,Negative (1-2★),False,True
9,review_20344,Lissette Palencia,1,"My experience at UCLA Ronald Reagan Medical Center highlights everything broken about the U.S. healthcare system. I was charged $4,270 just for walking in the door, and a total of $9,190 for a few simple stitches on my eyelid. Beyond the shocking bill, I spent over 6 hours waiting in a dirty tent, only to be moved inside where I waited another 2–3 hours before finally seeing a doctor. This isn’t just about UCLA it’s about how hospitals in America can bill patients outrageous amounts while making them wait for hours in poor conditions. Patients deserve safe, clean care at a fair price, not financial exploitation on top of an already stressful medical situation. I don't recommend this hospital to anyone in need of any type of medical help event if you have a heath insurance!",a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,783,-0.08666666666666667,0.4903571428571428,Neutral,-0.7719,0.139,0.763,0.098,Negative,Negative (1-2★),False,True
11,review_15428,broken AudioReact,1,Unprofessional towards both patients and family members. I got nothing else to say.,a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,83,0.0,0.0,Neutral,-0.5106,0.216,0.784,0.0,Negative,Negative (1-2★),False,True
12,review_57582,Maria D’Amico,5,It’s the best hospital in LA,a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,28,1.0,0.3,Positive,0.6369,0.0,0.543,0.457,Positive,Positive (4-5★),True,True
13,review_56650,Ashten Cormier,1,"Would absolutely not recommend UCLA medical center.
I was taken here by ambulance on August 3, 2025, after a brutal attack while at HARD Summer Music Fest at Hollywood Park. I typically go to Kaiser on my own, but apparently this was the closest and my situation warranted a trauma center, nonetheless I have had FAR better experiences and treatment at Kaiser.

UCLA Ronald Regan ER is the WORST.
1. No empathy, respect, or compassion from nursing staff- extremely rude and dismissive. I have never had to request a new nurse, however I asked for my nurses to be switched because I felt so uncomfortable.

2. The doctor was extremely rude snd impatient when I asked for the note to return to work to be adjusted to reflect necessary documentation my federal government employment requires, and even said she couldn’t help me because it was nearing the end of her shift and she had a lot still left to do.

3. I was in immense pain from a traumatic head injury and was discharged, very quickly (could barely walk), without any prescription for medication.

4. Recently received an excessive bill after telling them I have medi-cal so that’ll be another headache I have to deal with.

Absolutely will not recommend or return.",a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,1223,-0.08454545454545453,0.6178484848484849,Neutral,-0.9932,0.219,0.737,0.044,Negative,Negative (1-2★),False,True
14,review_31914,Isabella Nadia,2,"My husband has been in an out of this hospital for months, he was declined for a liver transplant almost 2 months ago, ever since then he has done everything in his power to show he is committed to sobriety but despite all his efforts they're still denying him a second chance. My husband is in a very bad shape and yet they still denying him from the transplant list and keep saying he needs to continue doing rehab when they can clearly see that time is not on our hands. They Drs I have talked to are not very compassionate about it, they just shrugg it off like they don't care. This is my loved one's life. My husband is trying very hard to prove he is committed to sobriety but there's only so much he can do when he is so sick, nobody is perfect in this life, please give him a second chance!. My child needs her father and I need my husband alive. Please I implore you review his case one more time!",a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,907,0.047811355311355316,0.5393315018315019,Neutral,0.8309,0.119,0.717,0.164,Positive,Negative (1-2★),False,False
16,review_48745,Silver B,1,"Update in Aug: UCLA accepted my payment online (and it shows ""the provider has accepted the payment"") but keeps sending me bill and a mail notice of ""we will take further action if we cannot receive the bill."" Are you trying to trap me?

The issue should have been solved in July, what's the reason that your system problem finally become the patient's bill problem. I am really tired of it...

---
I had already paid for my bill, but in July, UCLA called me again, claiming I never paid.

I contacted the insurance company. They confirmed they did pay the claim at the end of June, but said the hospital never accepted the payment, so the funds were not processed.

I tried to help by asking if I could provide a transaction ID to UCLA for confirmation.
The UCLA payment team's answer: ""No, we can't use that. You need to talk to your insurance company.""

I’m now caught in a ridiculous loop where both sides expect me to be the coordinator, while refusing to communicate with each other.

While I was literally drafting this post, I told the insurance company that I am disappointed and mad. That got someone to escalate my case to their advocate team. And here’s the crazy part: The advocate called the hospital directly. The UCLA payment team suddenly said yes to everything. Everything could be verified, cleared, and approved. Now, I’ve been told the payment will be processed on the hospital's side within a week.",a month ago,2025-09-09,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-09-09,1420,-0.18611111111111112,0.6854166666666668,Negative,-0.9655,0.127,0.81,0.063,Negative,Negative (1-2★),True,True
17,review_84133,Austen Gardner,5,Jinky and Jose took great care of me and they are amazing and made me feel happy… Wonderful people!,2 months ago,2025-08-10,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-08-10,99,0.8000000000000002,0.8833333333333333,Positive,0.9441,0.0,0.498,0.502,Positive,Positive (4-5★),True,True
19,review_33090,Jim Edwards,5,Always a good experience,2 months ago,2025-08-10,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-08-10,24,0.7,0.6000000000000001,Positive,0.4404,0.0,0.508,0.492,Positive,Positive (4-5★),True,True
21,review_84686,Jess Edo,1,"Absolutely do not recommend UCLA Ronald Reagan Medical Center.

My original review is too many words. To read it I have attached it as pictures labelled pages 1-5.

I am a mother of two, and my experience at this hospital was traumatic beyond words. I’ve waited almost a year to share this because it’s still painful, but other families deserve to know what happened.

On July 24, 2024, my toddler had a febrile seizure for the first time. We were taken to UCLA ER. She tested positive for COVID, and her personal neurologist (from CHLA) advised me via phone that she was safe to go home for monitoring as a provoke febrile seizure was the cause. Despite that, UCLA insisted on admitting her—and what followed was a complete nightmare.

🔻 I was threatened with CPS for trying to care for both children:
I was 3 months postpartum with a COVID-positive, exclusively breastfed infant at home. I explained that I needed to breastfeed him, and he had a fever too. They refused to let me bring him in to the hospital and said that if I left to care for him and discharged my daughter, they would report me to Child Protective Services for medical neglect. I had no choice—I felt like a hostage.

🔻 No accommodations for breastfeeding or basic nutrition:
I was given a breast pump, but my baby does not take bottles, and I had no way to get the milk to him. Once checked into the room, they gave me crackers and sugary cereal—no real food for my daughter or I —even though I hadn’t eaten in hours. I was not allowed to leave to get food, nor could staff bring anything from the lobby. My daughter has a gluten allergy and they had nothing for her either.

🔻 Prescribed dangerous medication:
UCLA discharged my daughter with Diazepam and Keppra for epilepsy—despite no epilepsy diagnosis. Weeks later, in Australia, I used the Diazepam during another febrile seizure, and it caused respiratory distress. Emergency responders and doctors were shocked at the dosage—way too high for a toddler. My U.S. pediatrician agreed. I had to give my daughter rescue breaths for 15 minutes until help arrived. Horrifying.

🔻 Delayed discharge and conflicting communication:
We were told multiple times we were being discharged. But we weren’t—staff seemed to be stalling for a full 24-hour observation period without being upfront. A nurse even admitted doctors were ""lollygagging.” When I finally confronted the doctor in front of his students, we were discharged 30 minutes later. They knew this whole time I had a covid positive 3 month old at home who was not allowed in the hospital who had also not had my milk for almost a 24hour period.

🔻 Financial stress mishandled:
While in emotional crisis, I was approached about insurance. Turns out my daughter’s name was misspelled, which caused the issue. After correcting it, I asked about financial assistance—none was available, and our plan had a 30% co-insurance. Just what every overwhelmed parent needs in a moment of crisis.

🔻 Ignored by Patient Experience team:
I contacted the patient care department afterward. They promised to look into the counselor who threatened CPS and the medication issue. I sent emails and our $8,940 bill as requested—and was completely ghosted. No response. No accountability. I have my email thread as proof.

👎 This hospital lacks empathy, trauma-informed care, and safe medical judgment.
* They endangered my infant and toddler.
* They created emotional trauma I am still processing.
* They ignored my neurologist’s medical advice.
* They threatened a loving, competent mother with CPS.
* They prescribed a medication that almost killed my child.

I flew to Australia shortly after to recover from this ordeal with family support. Please, if you're a parent—think twice before putting your family in UCLA’s hands.",2 months ago,2025-08-10,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-08-10,3785,0.04547671840354768,0.4019733924611974,Neutral,-0.9761,0.132,0.763,0.106,Negative,Negative (1-2★),False,True
23,review_57539,Elisa Yao,5,"One of my family members was admitted here and the care has been exceptionally great! The medical team has been amazing  and huge shoutout to the CVICU nurses who treated our family so well during our time here. Most of the nurses were so compassionate, patient, and attentive in their care that we always felt like we were in good hands.",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,338,0.5142857142857142,0.65,Positive,0.9832,0.0,0.623,0.377,Positive,Positive (4-5★),True,True
25,review_74483,Sean Schmidt,5,"I had major abdominal surgery and I was in the TRU East unit. I am leaving this review for the care nurse Alma. She went above and beyond to make sure I was clean and comfortable, really took pride in her work, and she helped me more than any of the other care nurses. Not saying any one was bad, but Alma was so great, she deserves a raise!",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,341,0.2204166666666667,0.5480555555555556,Positive,0.9441,0.027,0.739,0.234,Positive,Positive (4-5★),True,True
27,review_81827,Copper,1,"I should’ve listened to the warnings of going to this Er. The waiting room is very small it had maybe 10 chairs and that’s being generous ! The triage was awful she was such in a rush she yanked down my mask and not paying attention got the thermometer and poked my chin which hurt and no apology and sent me on to the next test.
After that I was placed in a filthy tent out side. There dirty tissue or napkins on the floor! The tent was supposed to be white! It looked gray! The next stop was a make shift examination tent off to the side where the security guard was. These looked like decontamination shower tents! No privacy because there was not enough plastic to cover. Patients can directly look at each other while the er dr. Is examined you
Then after my test I was  sent to another dirt tent.
The nurses are on computer on whells to take vitas and document. The went around the trash. My hippa was  violated when a nurse shot out my name and my results to the 20 people in the dirty tent I was in .
There is more but its to long. For this hospital located in Westwood, I felt I was at the county hospital in the 70’s!

Ucla do better! Your hospital is rank #3 nation clear is not!",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,1190,-0.18607253086419753,0.4926234567901235,Negative,-0.2942,0.076,0.872,0.051,Negative,Negative (1-2★),True,True
28,review_16751,Jessica Olivares,1,It's shocking that you A. Allowed men to be in examining room with a female and B that you allowed her to leave so soon. I have epilepsy and I have always had to stay at the hospital for at least 6+7 hours depending. You violated all her rights. I hope she hold you accountable,3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,277,-0.43333333333333335,0.5222222222222223,Negative,-0.5267,0.119,0.833,0.047,Negative,Negative (1-2★),True,True
29,review_80079,Kenneth A,5,"Kind staff, kind patients, overall just a good experience",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,57,0.475,0.6000000000000001,Positive,0.8658,0.0,0.382,0.618,Positive,Positive (4-5★),True,True
30,review_47485,Haydee Lopez,5,"My husband had brain surgery 2 years ago, and the staff and doctors in the neurosciences department did a very well job taking care of him. I am forever in debt with how they welcomed us and treated us during our stay.

That same year, my mom had liver cancer, and had a microwave Embolization. Again, very good experience. They treated my mom well and were very helpful.",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,371,0.32749999999999996,0.37625000000000003,Positive,0.8166,0.083,0.72,0.197,Positive,Positive (4-5★),True,True
32,review_61100,Matthew Portillo,5,"if only there was a 10 star option Staff Is kind  the rooms are nice i came here in 2021 and had a liver transplant and im doing better than ever these guys know what they are doing they have a play place for kids too the bring u special stuff if ur a kid too best hospital in the world
definitely recommend",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,307,0.436734693877551,0.6816326530612244,Positive,0.9705,0.0,0.7,0.3,Positive,Positive (4-5★),True,True
33,review_78766,Mark Hover,2,"Its disgusting that a publicly funded institution will not treat patients with public insurance. Took a friend with a brain tumor to RRMC. We were turned away because the only insurance was public insurance. 12 hour wait to be told its serious, and to seek help elsewhere.  The issue is policy, not personnel.",3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,309,-0.2222222222222222,0.4777777777777778,Negative,-0.3935,0.153,0.753,0.094,Negative,Negative (1-2★),True,True
34,review_74442,DJean,5,"Given birth to both my girls here ♥️🫶🏻🥹, best experience ever, the doctors, nurses, staff and room 10/10 💕🙏! Thank you so much for taking care of me and my girls ♥️.",Edited 3 months ago,2025-07-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-07-11,165,0.6,0.25,Positive,0.9747,0.0,0.598,0.402,Positive,Positive (4-5★),True,True
36,review_36011,John S,1,Stinks like raw sewage every day. Absolutely putrid. How is this not urgently being fixed?,4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,90,-0.1326923076923077,0.5153846153846154,Negative,0.128,0.114,0.743,0.143,Positive,Negative (1-2★),True,False
37,review_83272,Nicole N,1,Er waiting room was terrible. It was packed and on top of that they kept moving everyone around. Don't know how that's allowed. At the end one of the nurses was pretty much kicking me out of the room I was in and told us to wait in the waiting room. There was no space to sit and i was still in pain at the point and I had to stand.,4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,332,-0.012499999999999997,0.675,Neutral,-0.5574,0.108,0.829,0.063,Negative,Negative (1-2★),False,True
38,review_76933,C Sizemore,5,"Was seen swiftly, always treated with respect and dignity. Was released after  3 days (end stage chronic pancreatitis) and while I finally quit drinking in December, I unfortunately have bouts of severe pain. With exception to two nurses, I have absolutely only positive things to say about these 3, very long days. And even the two nurses weren't that bad. Maybe our personalities didn't click, but I would rather wait here for 8 hours and be seen, rather than be seen immediately at Cedars, where patient dignity and compassion is only given if you fall under their insurance policies. The doctors here seemed genuinely concerned that I have proper follow up care and that I was going home to a safe environment....they saw me as human being rather than $$$. I will ALWAYS be grateful for that.

Thank you, UCLA.",4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,814,-0.012520661157024781,0.6301928374655646,Neutral,0.9802,0.034,0.766,0.2,Positive,Positive (4-5★),False,True
41,review_97524,Jenny Ghazaryan,1,"Literally a bunch of clueless individuals working in 1 place it’s almost a requirement to work there! Called for my medical records Lisette told me I only need my name and ss, turns out you need more information and just hated my experience from the surgeon (roosteaian) to every step of the way!",4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,296,-0.125,0.55,Negative,-0.8065,0.125,0.875,0.0,Negative,Negative (1-2★),True,True
42,review_50907,Paula Tucker,5,Most amazing staff. They took great care of my daughter. Thank you to everyone there,4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,84,0.6333333333333334,0.7166666666666667,Positive,0.9312,0.0,0.442,0.558,Positive,Positive (4-5★),True,True
43,review_70848,Jeremy Foster,2,"Security is rude, needs to lighten up a bit. Also 24 hour parking pass isn’t fair. They don’t base your hours from when you purchase it. Goes based on when you enter. Doesn’t make sense to me.",4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,192,-0.13333333333333336,0.8333333333333334,Negative,0.1779,0.072,0.815,0.113,Positive,Negative (1-2★),True,False
44,review_92795,Alexis Corsentino,5,By far the most amazing care I have ever received! All of the doctors and nurses are incredible.,4 months ago,2025-06-11,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-06-11,96,0.5625,0.825,Positive,0.8344,0.0,0.67,0.33,Positive,Positive (4-5★),True,True
46,review_415,Alejandro,1,"Awful hospital, prices, charges, fees are insane",5 months ago,2025-05-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-05-12,48,-1.0,1.0,Negative,-0.7783,0.661,0.339,0.0,Negative,Negative (1-2★),True,True
48,review_18702,J Stem,5,My daughter had surgery here. She was VERY nervous to say the least. I’m terrible with names but every single person that helped her made her feel so comfortable. They explained every single step of the process to my daughter. From all of the nurses to the anesthesiologist. I highly recommend this children’s hospital.,5 months ago,2025-05-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-05-12,319,-0.09755102040816326,0.4955102040816327,Neutral,0.8146,0.065,0.785,0.15,Positive,Positive (4-5★),False,True
49,review_88853,Dana Teen,5,"I received excellent care during a serious medical emergency. The hospital was over capacity, it’s true, but in light of everything, the staff and physicians worked tirelessly and saved my life. I am grateful for the attentive and professional care I received!

Mary in the ER, all of my nurses, the lab and specialty techs, Ernest in transport—everyone was incredible!",Edited 5 months ago,2025-05-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-05-12,369,0.3677083333333333,0.6145833333333334,Positive,0.9515,0.04,0.704,0.256,Positive,Positive (4-5★),True,True
53,review_74537,Caitlyn,2,"In an attempt of protecting our family member from potential peanut exposure in their ER, we were assured by a male nurse that he hasn't seen a peanut being served in this facility in 15 years (despite the rest of the family smelling one during our visit). However, much to our great frustration, this family member went into anaphylactic shock (after we left) later the same day after being exposed to the smell of a peanut butter sandwich which a patient right next to her had consumed (we have since been told that this facility serves this for lunch). She required immediate medical attention, consisting of epinephrine and Benadryl injections. Despite their quick and diligent efforts the first time we pointed out the potential threat of allergy exposure while we were there, we are extremely disappointed that our family member's allergies were not communicated effectively to both sides of the hospital staff's shifts when she was left alone.",6 months ago,2025-04-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-04-12,950,0.10744047619047617,0.3808779761904762,Positive,-0.8624,0.105,0.857,0.038,Negative,Negative (1-2★),False,True
54,review_71947,Rick Mclean,1,"UCLA it’s like going to a Third World country hospital, it’s dirty people are in the hallways and outside in tents. .
It’s just not big enough to support the amount of people that go there .
If you check into the ER, you will be greatly disappointed.",Edited 6 months ago,2025-04-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-04-12,250,-0.225,0.3666666666666667,Negative,-0.2716,0.113,0.793,0.094,Negative,Negative (1-2★),True,True
55,review_8980,Cindy Rodriguez,1,They should change the name of this hospital,6 months ago,2025-04-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-04-12,44,0.0,0.0,Neutral,0.0,0.0,1.0,0.0,Neutral,Negative (1-2★),False,False
56,review_58790,Robert Hall,3,"UCLA encourages one to use the UCLA shuttle between visits to other buildings. It’s a great idea if it only worked or helped patients be on time for their next appointment. Waited over 40 minutes, a no show (was told 15-20 minutes). It’s a service that shouldn’t be offered if it can’t be relied upon.",6 months ago,2025-04-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-04-12,301,0.16875,0.53125,Positive,0.7003,0.036,0.85,0.114,Positive,Neutral (3★),False,False
58,review_34185,Vincent O'Campo,5,"To everyone here involved in helping my baby, I am grateful! I apologize, but I don't know everyone's names involved with her. All of you are very professional with the  upmost integrity . Every doctor and nurse is caring and authentic. The A/C wasn't working for at least a week and a half due to someone vaping in the bathroom somewhere in the building. The system shut down and the dampers closed so multiple engineers had to work as a team to get everything running again. When I came out to stay with my daughter. Robert Alfonso the engineer came to diagnose and work on the A/C. He came in multiple times to check on the temperature levels after he completed servicing the unit. His service is second to non and is very hard to find. Thank you Robert for your professionalism. All of you involved with helping my baby get through difficult times deserve raises. We are grateful with much love sending great and power vibes to you all and know that great things will return to you for your awesome service!",7 months ago,2025-03-13,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-03-13,1011,0.12522569444444445,0.43842013888888887,Positive,0.9921,0.024,0.768,0.208,Positive,Positive (4-5★),True,True
60,review_49935,Juan Carlos 394,5,This hospital of KING OF POP MICHEAL JOSEPH JACKSON PASSED AWAY ON JUNE 25 2009,7 months ago,2025-03-13,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-03-13,79,0.0,0.0,Neutral,0.0,0.0,1.0,0.0,Neutral,Positive (4-5★),False,False
63,review_10368,Miguel R,5,This hospital is great! I was here for a whole week for a bad infection. The doctors and nurses and all the staff were amazing. Cynthia and Juan you guys are the best! Even the food was good lol. Hope I never have to come back but if I do I would pick ucla again.,9 months ago,2025-01-12,1,en,UCLA_Medical_CA,UCLA_Medical_CA_20251009_2227.csv,2025-01-12,263,0.44999999999999996,0.5395833333333333,Positive,0.8652,0.035,0.748,0.217,Positive,Positive (4-5★),True,True
